age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,y_no,y_yes
39, 6, 77516, 1, 13, 3, 9, 4, 1, 2, 2174, 0, 40, 1, 0,1
50, 2, 83311, 1, 13, 1, 5, 3, 1, 2, 0, 0, 13, 1, 0,1
38, 1, 215646, 4, 9, 2, 7, 4, 1, 2, 0, 0, 40, 1, 0,1
53, 1, 234721, 3, 7, 1, 7, 3, 5, 2, 0, 0, 40, 1, 0,1
28, 1, 338409, 1, 13, 1, 6, 1, 5, 1, 0, 0, 40, 13, 0,1
37, 1, 284582, 11, 14, 1, 5, 1, 1, 1, 0, 0, 40, 1, 0,1
49, 1, 160187, 8, 5, 6, 3, 4, 5, 1, 0, 0, 16, 19, 0,1
52, 2, 209642, 4, 9, 1, 5, 3, 1, 2, 0, 0, 45, 1, 1,0
31, 1, 45781, 11, 14, 3, 6, 4, 1, 1, 14084, 0, 50, 1, 1,0
42, 1, 159449, 1, 13, 1, 5, 3, 1, 2, 5178, 0, 40, 1, 1,0
37, 1, 280464, 2, 10, 1, 5, 3, 5, 2, 0, 0, 80, 1, 1,0
30, 6, 141297, 1, 13, 1, 6, 3, 2, 2, 0, 0, 40, 8, 1,0
23, 1, 122272, 1, 13, 3, 9, 2, 1, 1, 0, 0, 30, 1, 0,1
32, 1, 205019, 6, 12, 3, 4, 4, 5, 2, 0, 0, 50, 1, 0,1
40, 1, 121772, 7, 11, 1, 2, 3, 2, 2, 0, 0, 40, 0, 1,0
34, 1, 245487, 9, 4, 1, 11, 3, 3, 2, 0, 0, 45, 21, 0,1
25, 2, 176756, 4, 9, 3, 10, 2, 1, 2, 0, 0, 35, 1, 0,1
32, 1, 186824, 4, 9, 3, 8, 6, 1, 2, 0, 0, 40, 1, 0,1
38, 1, 28887, 3, 7, 1, 4, 3, 1, 2, 0, 0, 50, 1, 0,1
43, 2, 292175, 11, 14, 2, 5, 6, 1, 1, 0, 0, 45, 1, 1,0
40, 1, 193524, 14, 16, 1, 6, 3, 1, 2, 0, 0, 60, 1, 1,0
54, 1, 302146, 4, 9, 4, 3, 6, 5, 1, 0, 0, 20, 1, 0,1
35, 4, 76845, 8, 5, 1, 10, 3, 5, 2, 0, 0, 40, 1, 0,1
43, 1, 117037, 3, 7, 1, 11, 3, 1, 2, 0, 2042, 40, 1, 0,1
59, 1, 109015, 4, 9, 2, 1, 6, 1, 1, 0, 0, 40, 1, 0,1
56, 5, 216851, 1, 13, 1, 1, 3, 1, 2, 0, 0, 40, 1, 1,0
19, 1, 168294, 4, 9, 3, 2, 2, 1, 2, 0, 0, 40, 1, 0,1
54, 0, 180211, 2, 10, 1, 0, 3, 2, 2, 0, 0, 60, 11, 1,0
39, 1, 367260, 4, 9, 2, 5, 4, 1, 2, 0, 0, 80, 1, 0,1
49, 1, 193366, 4, 9, 1, 2, 3, 1, 2, 0, 0, 40, 1, 0,1
23, 5, 190709, 6, 12, 3, 13, 4, 1, 2, 0, 0, 52, 1, 0,1
20, 1, 266015, 2, 10, 3, 4, 2, 5, 2, 0, 0, 44, 1, 0,1
45, 1, 386940, 1, 13, 2, 5, 2, 1, 2, 0, 1408, 40, 1, 0,1
30, 4, 59951, 2, 10, 1, 9, 2, 1, 2, 0, 0, 40, 1, 0,1
22, 6, 311512, 2, 10, 1, 3, 3, 5, 2, 0, 0, 15, 1, 0,1
48, 1, 242406, 3, 7, 3, 8, 6, 1, 2, 0, 0, 40, 4, 0,1
21, 1, 197200, 2, 10, 3, 8, 2, 1, 2, 0, 0, 40, 1, 0,1
19, 1, 544091, 4, 9, 7, 9, 1, 1, 1, 0, 0, 25, 1, 0,1
31, 1, 84154, 2, 10, 1, 4, 3, 1, 2, 0, 0, 38, 0, 1,0
48, 2, 265477, 6, 12, 1, 6, 3, 1, 2, 0, 0, 40, 1, 0,1
31, 1, 507875, 8, 5, 1, 8, 3, 1, 2, 0, 0, 43, 1, 0,1
53, 2, 88506, 1, 13, 1, 6, 3, 1, 2, 0, 0, 40, 1, 0,1
24, 1, 172987, 1, 13, 1, 1, 3, 1, 2, 0, 0, 50, 1, 0,1
49, 1, 94638, 4, 9, 4, 9, 6, 1, 1, 0, 0, 40, 1, 0,1
25, 1, 289980, 4, 9, 3, 7, 4, 1, 2, 0, 0, 35, 1, 0,1
57, 4, 337895, 1, 13, 1, 6, 3, 5, 2, 0, 0, 40, 1, 1,0
53, 1, 144361, 4, 9, 1, 8, 3, 1, 2, 0, 0, 38, 1, 0,1
44, 1, 128354, 11, 14, 2, 5, 6, 1, 1, 0, 0, 40, 1, 0,1
41, 6, 101603, 7, 11, 1, 2, 3, 1, 2, 0, 0, 40, 1, 0,1
29, 1, 271466, 7, 11, 3, 6, 4, 1, 2, 0, 0, 43, 1, 0,1
25, 1, 32275, 2, 10, 1, 5, 1, 4, 1, 0, 0, 40, 1, 0,1
18, 1, 226956, 4, 9, 3, 3, 2, 1, 1, 0, 0, 30, 0, 0,1
47, 1, 51835, 5, 15, 1, 6, 1, 1, 1, 0, 1902, 60, 15, 1,0
50, 4, 251585, 1, 13, 2, 5, 4, 1, 2, 0, 0, 55, 1, 1,0
47, 3, 109832, 4, 9, 2, 5, 4, 1, 2, 0, 0, 60, 1, 0,1
43, 1, 237993, 2, 10, 1, 1, 3, 1, 2, 0, 0, 40, 1, 1,0
46, 1, 216666, 15, 3, 1, 8, 3, 1, 2, 0, 0, 40, 21, 0,1
35, 1, 56352, 7, 11, 1, 3, 3, 1, 2, 0, 0, 40, 4, 0,1
41, 1, 147372, 4, 9, 1, 9, 3, 1, 2, 0, 0, 48, 1, 0,1
30, 1, 188146, 4, 9, 1, 8, 3, 1, 2, 5013, 0, 40, 1, 0,1
